season,circuit,Driver,compound,tyre_age,stint,stint_lap,lap_time_s,driver_fastest_lap_s,fuel_corrected_delta,lap_time_delta,data_source
2018,Silverstone,ALO,SOFT,20,3,6,93.94,93.907,0.36300000000000127,0.36300000000000127,fastf1_real
2018,Silverstone,ALO,SOFT,21,3,7,93.522,93.907,9.103828801926284e-15,9.103828801926284e-15,fastf1_real
2018,Silverstone,ALO,SOFT,22,3,8,93.482,93.522,0.39999999999999375,0.39999999999999375,fastf1_real
2018,Silverstone,LEC,SOFT,8,1,1,95.261,95.261,0.055,0.055,fastf1_real
2018,Silverstone,LEC,SOFT,9,1,2,95.679,95.261,0.5280000000000064,0.5280000000000064,fastf1_real
2018,Silverstone,LEC,SOFT,10,1,3,95.358,95.261,0.26200000000000845,0.26200000000000845,fastf1_real
2018,Silverstone,LEC,SOFT,11,1,4,95.699,95.261,0.6580000000000024,0.6580000000000024,fastf1_real
2018,Silverstone,LEC,SOFT,12,1,5,95.379,95.261,0.39300000000000923,0.39300000000000923,fastf1_real
2018,Silverstone,LEC,SOFT,13,1,6,96.093,95.261,1.162000000000008,1.162000000000008,fastf1_real
2018,Silverstone,LEC,SOFT,14,1,7,95.913,95.261,1.037000000000001,1.037000000000001,fastf1_real
2018,Silverstone,LEC,SOFT,15,1,8,95.397,95.261,0.5760000000000098,0.5760000000000098,fastf1_real
2018,Silverstone,LEC,SOFT,16,1,9,95.337,95.261,0.5710000000000076,0.5710000000000076,fastf1_real
2018,Silverstone,LEC,SOFT,17,1,10,95.685,95.261,0.9740000000000066,0.9740000000000066,fastf1_real
2018,Silverstone,LEC,SOFT,18,1,11,95.437,95.261,0.7810000000000019,0.7810000000000019,fastf1_real
2018,Silverstone,LEC,SOFT,19,1,12,95.27,95.261,0.6690000000000004,0.6690000000000004,fastf1_real
2018,Silverstone,LEC,SOFT,20,1,13,95.306,95.261,0.7600000000000017,0.7600000000000017,fastf1_real
2018,Silverstone,LEC,SOFT,21,1,14,96.218,95.261,1.7270000000000079,1.7270000000000079,fastf1_real
2018,Silverstone,STR,MEDIUM,3,1,1,96.917,96.917,0.055,0.055,fastf1_real
2018,Silverstone,STR,MEDIUM,4,1,2,97.852,96.917,1.0450000000000024,1.0450000000000024,fastf1_real
2018,Silverstone,STR,MEDIUM,5,1,3,96.907,96.917,0.1549999999999949,0.1549999999999949,fastf1_real
2018,Silverstone,STR,MEDIUM,6,1,4,97.154,96.907,0.46699999999999986,0.46699999999999986,fastf1_real
2018,Silverstone,STR,MEDIUM,7,1,5,96.605,96.907,-0.026999999999992474,0.0,fastf1_real
2018,Silverstone,STR,MEDIUM,8,1,6,96.38,96.605,0.10499999999999149,0.10499999999999149,fastf1_real
2018,Silverstone,STR,MEDIUM,9,1,7,96.921,96.38,0.926000000000011,0.926000000000011,fastf1_real
2018,Silverstone,STR,MEDIUM,10,1,8,96.81,96.38,0.8700000000000068,0.8700000000000068,fastf1_real
2018,Silverstone,STR,MEDIUM,11,1,9,96.852,96.38,0.9670000000000084,0.9670000000000084,fastf1_real
2018,Silverstone,STR,MEDIUM,12,1,10,97.312,96.38,1.4820000000000022,1.4820000000000022,fastf1_real
2018,Silverstone,STR,MEDIUM,13,1,11,97.918,96.38,2.143000000000011,2.143000000000011,fastf1_real
2018,Silverstone,STR,MEDIUM,14,1,12,96.449,96.38,0.7290000000000026,0.7290000000000026,fastf1_real
2018,Silverstone,STR,MEDIUM,15,1,13,97.043,96.38,1.3780000000000108,1.3780000000000108,fastf1_real
2018,Silverstone,STR,MEDIUM,16,1,14,96.881,96.38,1.2710000000000048,1.2710000000000048,fastf1_real
2018,Silverstone,STR,MEDIUM,17,1,15,97.468,96.38,1.913000000000008,1.913000000000008,fastf1_real
2018,Silverstone,STR,MEDIUM,20,1,16,96.986,96.38,1.4860000000000086,1.4860000000000086,fastf1_real
2018,Silverstone,STR,MEDIUM,21,1,17,97.0,96.38,1.5550000000000046,1.5550000000000046,fastf1_real
2018,Silverstone,STR,MEDIUM,22,1,18,96.765,96.38,1.375000000000005,1.375000000000005,fastf1_real
2018,Silverstone,STR,MEDIUM,23,1,19,96.494,96.38,1.1590000000000042,1.1590000000000042,fastf1_real
2018,Silverstone,STR,MEDIUM,24,1,20,96.335,96.38,1.0549999999999984,1.0549999999999984,fastf1_real
2018,Silverstone,STR,MEDIUM,25,1,21,96.163,96.335,0.983000000000003,0.983000000000003,fastf1_real
2018,Silverstone,STR,MEDIUM,26,1,22,95.975,96.163,1.0219999999999976,1.0219999999999976,fastf1_real
2018,Silverstone,STR,MEDIUM,27,1,23,96.025,95.975,1.3150000000000113,1.3150000000000113,fastf1_real
2018,Silverstone,STR,MEDIUM,28,1,24,96.248,95.975,1.5930000000000104,1.5930000000000104,fastf1_real
2018,Silverstone,STR,SOFT,12,2,1,97.088,95.975,1.1679999999999995,1.1679999999999995,fastf1_real
2018,Silverstone,STR,SOFT,13,2,2,94.949,95.975,-0.9159999999999963,0.0,fastf1_real
2018,Silverstone,STR,SOFT,14,2,3,94.076,94.949,-0.7080000000000046,0.0,fastf1_real
2018,Silverstone,STR,SOFT,15,2,4,95.075,94.076,1.2190000000000094,1.2190000000000094,fastf1_real
2018,Silverstone,STR,SOFT,19,2,5,94.458,94.076,0.657000000000005,0.657000000000005,fastf1_real
2018,Silverstone,STR,SOFT,20,2,6,94.192,94.076,0.4459999999999997,0.4459999999999997,fastf1_real
2018,Silverstone,STR,SOFT,21,2,7,94.22,94.076,0.5290000000000055,0.5290000000000055,fastf1_real
2018,Silverstone,STR,SOFT,22,2,8,93.957,94.076,0.32100000000000023,0.32100000000000023,fastf1_real
2018,Silverstone,VAN,SOFT,3,1,1,96.442,96.442,0.055,0.055,fastf1_real
2018,Silverstone,VAN,SOFT,4,1,2,96.567,96.442,0.235,0.235,fastf1_real
2018,Silverstone,VAN,SOFT,5,1,3,96.05,96.442,-0.2269999999999959,0.0,fastf1_real
2018,Silverstone,VAN,SOFT,6,1,4,96.372,96.05,0.5420000000000027,0.5420000000000027,fastf1_real
2018,Silverstone,VAN,SOFT,7,1,5,95.898,96.05,0.122999999999999,0.122999999999999,fastf1_real
2018,Silverstone,VAN,SOFT,8,1,6,96.205,95.898,0.6370000000000022,0.6370000000000022,fastf1_real
2018,Silverstone,VAN,SOFT,9,1,7,96.222,95.898,0.7089999999999981,0.7089999999999981,fastf1_real
2018,Silverstone,VAN,SOFT,10,1,8,95.978,95.898,0.5199999999999982,0.5199999999999982,fastf1_real
2018,Silverstone,VAN,SOFT,11,1,9,96.19,95.898,0.7870000000000016,0.7870000000000016,fastf1_real
2018,Silverstone,VAN,SOFT,12,1,10,96.431,95.898,1.0830000000000013,1.0830000000000013,fastf1_real
2018,Silverstone,VAN,SOFT,13,1,11,96.188,95.898,0.8950000000000062,0.8950000000000062,fastf1_real
2018,Silverstone,VAN,SOFT,14,1,12,95.89,95.898,0.6520000000000045,0.6520000000000045,fastf1_real
2018,Silverstone,VAN,SOFT,15,1,13,95.508,95.89,0.33299999999999497,0.33299999999999497,fastf1_real
2018,Silverstone,VAN,SOFT,16,1,14,95.991,95.508,1.253000000000004,1.253000000000004,fastf1_real
2018,Silverstone,VAN,SOFT,17,1,15,95.189,95.508,0.5059999999999973,0.5059999999999973,fastf1_real
2018,Silverstone,VAN,MEDIUM,2,2,1,94.872,95.189,-0.26199999999999307,0.0,fastf1_real
2018,Silverstone,VAN,MEDIUM,3,2,2,94.606,94.872,-0.15600000000000536,0.0,fastf1_real
2018,Silverstone,VAN,MEDIUM,4,2,3,95.785,94.606,1.344000000000002,1.344000000000002,fastf1_real
2018,Silverstone,VAN,MEDIUM,5,2,4,95.116,94.606,0.7300000000000051,0.7300000000000051,fastf1_real
2018,Silverstone,VAN,MEDIUM,6,2,5,94.857,94.606,0.5260000000000048,0.5260000000000048,fastf1_real
2018,Silverstone,VAN,MEDIUM,7,2,6,94.623,94.606,0.34700000000001013,0.34700000000001013,fastf1_real
2018,Silverstone,VAN,MEDIUM,8,2,7,94.745,94.606,0.52400000000001,0.52400000000001,fastf1_real
2018,Silverstone,VAN,MEDIUM,9,2,8,94.685,94.606,0.5190000000000077,0.5190000000000077,fastf1_real
2018,Silverstone,VAN,MEDIUM,10,2,9,94.767,94.606,0.6560000000000014,0.6560000000000014,fastf1_real
2018,Silverstone,VAN,SOFT,9,3,1,96.691,94.606,2.140000000000008,2.140000000000008,fastf1_real
2018,Silverstone,VAN,SOFT,10,3,2,94.634,94.606,0.13800000000000578,0.13800000000000578,fastf1_real
2018,Silverstone,VAN,SOFT,11,3,3,94.098,94.606,-0.34299999999999553,0.0,fastf1_real
2018,Silverstone,VAN,SOFT,12,3,4,94.239,94.098,0.3610000000000053,0.3610000000000053,fastf1_real
2018,Silverstone,VAN,SOFT,16,3,5,93.838,94.098,0.014999999999994906,0.014999999999994906,fastf1_real
2018,Silverstone,VAN,SOFT,17,3,6,94.713,93.838,1.205,1.205,fastf1_real
2018,Silverstone,VAN,SOFT,18,3,7,94.952,93.838,1.4990000000000043,1.4990000000000043,fastf1_real
2018,Silverstone,VAN,SOFT,19,3,8,93.656,93.838,0.25800000000001205,0.25800000000001205,fastf1_real
2018,Silverstone,MAG,SOFT,6,1,1,96.839,96.839,0.055,0.055,fastf1_real
2018,Silverstone,MAG,SOFT,7,1,2,95.83,96.839,-0.8990000000000004,0.0,fastf1_real
2018,Silverstone,MAG,SOFT,8,1,3,96.799,95.83,1.1340000000000083,1.1340000000000083,fastf1_real
2018,Silverstone,MAG,SOFT,9,1,4,95.875,95.83,0.2650000000000017,0.2650000000000017,fastf1_real
2018,Silverstone,MAG,SOFT,10,1,5,95.754,95.83,0.19900000000000662,0.19900000000000662,fastf1_real
2018,Silverstone,MAG,SOFT,11,1,6,95.677,95.754,0.25300000000000183,0.25300000000000183,fastf1_real
2018,Silverstone,MAG,SOFT,12,1,7,96.028,95.677,0.7359999999999991,0.7359999999999991,fastf1_real
2018,Silverstone,MAG,SOFT,13,1,8,95.72,95.677,0.48299999999999216,0.48299999999999216,fastf1_real
2018,Silverstone,MAG,SOFT,14,1,9,95.532,95.677,0.34999999999998976,0.34999999999998976,fastf1_real
2018,Silverstone,MAG,SOFT,15,1,10,95.706,95.532,0.7240000000000066,0.7240000000000066,fastf1_real
2018,Silverstone,MAG,SOFT,16,1,11,96.359,95.532,1.4319999999999982,1.4319999999999982,fastf1_real
2018,Silverstone,MAG,SOFT,17,1,12,95.66,95.532,0.7880000000000001,0.7880000000000001,fastf1_real
2018,Silverstone,MAG,SOFT,18,1,13,95.054,95.532,0.23700000000000554,0.23700000000000554,fastf1_real
2018,Silverstone,MAG,SOFT,19,1,14,95.228,95.054,0.9439999999999924,0.9439999999999924,fastf1_real
2018,Silverstone,MAG,SOFT,20,1,15,95.046,95.054,0.8170000000000044,0.8170000000000044,fastf1_real
2018,Silverstone,MAG,SOFT,23,1,16,94.69,95.046,0.5239999999999913,0.5239999999999913,fastf1_real
2018,Silverstone,MAG,SOFT,24,1,17,94.81,94.69,1.0550000000000046,1.0550000000000046,fastf1_real
2018,Silverstone,MAG,SOFT,25,1,18,94.481,94.69,0.7809999999999968,0.7809999999999968,fastf1_real
2018,Silverstone,MAG,SOFT,26,1,19,94.815,94.481,1.3790000000000031,1.3790000000000031,fastf1_real
2018,Silverstone,MAG,MEDIUM,2,2,1,94.892,94.481,0.46600000000000136,0.46600000000000136,fastf1_real
2018,Silverstone,MAG,MEDIUM,3,2,2,94.863,94.481,0.492000000000005,0.492000000000005,fastf1_real
2018,Silverstone,MAG,MEDIUM,4,2,3,95.204,94.481,0.887999999999999,0.887999999999999,fastf1_real
2018,Silverstone,MAG,MEDIUM,5,2,4,95.005,94.481,0.7440000000000009,0.7440000000000009,fastf1_real
2018,Silverstone,MAG,MEDIUM,6,2,5,94.961,94.481,0.755000000000004,0.755000000000004,fastf1_real
2018,Silverstone,MAG,MEDIUM,17,2,6,95.338,94.481,1.1869999999999994,1.1869999999999994,fastf1_real
2018,Silverstone,MAG,MEDIUM,18,2,7,94.172,94.481,0.07600000000000251,0.07600000000000251,fastf1_real
2018,Silverstone,MAG,MEDIUM,19,2,8,94.148,94.172,0.4159999999999991,0.4159999999999991,fastf1_real
2018,Silverstone,MAG,MEDIUM,20,2,9,94.031,94.148,0.3780000000000098,0.3780000000000098,fastf1_real
2018,Silverstone,MAG,MEDIUM,24,2,10,94.066,94.031,0.5849999999999966,0.5849999999999966,fastf1_real
2018,Silverstone,MAG,MEDIUM,25,2,11,93.816,94.031,0.38999999999999657,0.38999999999999657,fastf1_real
2018,Silverstone,MAG,MEDIUM,26,2,12,93.676,93.816,0.5199999999999995,0.5199999999999995,fastf1_real
2018,Silverstone,MAG,MEDIUM,27,2,13,96.136,93.676,3.1749999999999936,3.1749999999999936,fastf1_real
2018,Silverstone,HUL,MEDIUM,3,1,1,95.088,95.088,0.055,0.055,fastf1_real
